video_frame,gt_frame,gt_id,reason,detail
0,0,1,unexpected_label,65 pixels
0,0,2,unexpected_label,170 pixels
0,0,3,unexpected_label,228 pixels
0,0,4,unexpected_label,86 pixels
0,0,5,unexpected_label,48 pixels
0,0,6,unexpected_label,61 pixels
0,0,7,unexpected_label,380 pixels
0,0,8,unexpected_label,65 pixels
0,0,9,unexpected_label,152 pixels
0,0,10,unexpected_label,386 pixels
0,0,11,unexpected_label,208 pixels
0,0,13,unexpected_label,61 pixels
0,0,17,unexpected_label,166 pixels
0,0,19,unexpected_label,146 pixels
0,0,21,unexpected_label,250 pixels
0,0,28,unexpected_label,270 pixels
0,0,29,unexpected_label,288 pixels
0,0,31,unexpected_label,332 pixels
0,0,33,unexpected_label,44 pixels
0,0,36,unexpected_label,166 pixels
0,0,40,unexpected_label,2 pixels
0,0,42,unexpected_label,48 pixels
0,0,49,unexpected_label,38 pixels
0,0,56,unexpected_label,146 pixels
0,0,61,unexpected_label,88 pixels
0,0,63,unexpected_label,2 pixels
0,0,64,unexpected_label,40 pixels
0,0,70,unexpected_label,44 pixels
0,0,77,unexpected_label,4 pixels
0,0,82,unexpected_label,6 pixels
0,0,84,unexpected_label,14 pixels
0,0,85,unexpected_label,118 pixels
0,0,92,unexpected_label,78 pixels
0,0,96,unexpected_label,2 pixels
0,0,103,unexpected_label,14 pixels
0,0,106,unexpected_label,42 pixels
0,0,111,unexpected_label,2 pixels
0,0,14,small_disconnected_regions,"[4600, 12, 8, 8, 8, 6, 4, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
1,1,1,unexpected_label,71 pixels
1,1,2,unexpected_label,178 pixels
1,1,3,unexpected_label,236 pixels
1,1,4,unexpected_label,78 pixels
1,1,5,unexpected_label,47 pixels
1,1,6,unexpected_label,67 pixels
1,1,7,unexpected_label,393 pixels
1,1,8,unexpected_label,71 pixels
1,1,9,unexpected_label,152 pixels
1,1,10,unexpected_label,378 pixels
1,1,11,unexpected_label,212 pixels
1,1,13,unexpected_label,67 pixels
1,1,17,unexpected_label,174 pixels
1,1,19,unexpected_label,146 pixels
1,1,21,unexpected_label,252 pixels
1,1,28,unexpected_label,290 pixels
1,1,29,unexpected_label,284 pixels
1,1,31,unexpected_label,348 pixels
1,1,33,unexpected_label,44 pixels
1,1,36,unexpected_label,174 pixels
1,1,40,unexpected_label,1 pixels
1,1,42,unexpected_label,48 pixels
1,1,49,unexpected_label,34 pixels
1,1,56,unexpected_label,146 pixels
1,1,61,unexpected_label,88 pixels
1,1,63,unexpected_label,1 pixels
1,1,64,unexpected_label,37 pixels
1,1,70,unexpected_label,45 pixels
1,1,77,unexpected_label,1 pixels
1,1,82,unexpected_label,1 pixels
1,1,84,unexpected_label,8 pixels
1,1,85,unexpected_label,138 pixels
1,1,89,unexpected_label,1 pixels
1,1,92,unexpected_label,68 pixels
1,1,99,unexpected_label,1 pixels
1,1,103,unexpected_label,8 pixels
1,1,106,unexpected_label,34 pixels
1,1,14,small_disconnected_regions,"[4752, 8, 8, 6, 6, 4, 4, 4, 4, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
2,2,1,unexpected_label,70 pixels
2,2,2,unexpected_label,182 pixels
2,2,3,unexpected_label,232 pixels
2,2,4,unexpected_label,76 pixels
2,2,5,unexpected_label,48 pixels
2,2,6,unexpected_label,66 pixels
2,2,7,unexpected_label,403 pixels
2,2,8,unexpected_label,70 pixels
2,2,9,unexpected_label,148 pixels
2,2,10,unexpected_label,368 pixels
2,2,11,unexpected_label,208 pixels
2,2,13,unexpected_label,66 pixels
2,2,17,unexpected_label,178 pixels
2,2,19,unexpected_label,146 pixels
2,2,21,unexpected_label,261 pixels
2,2,26,unexpected_label,1 pixels
2,2,28,unexpected_label,288 pixels
2,2,29,unexpected_label,276 pixels
2,2,31,unexpected_label,356 pixels
2,2,33,unexpected_label,45 pixels
2,2,36,unexpected_label,178 pixels
2,2,40,unexpected_label,1 pixels
2,2,42,unexpected_label,48 pixels
2,2,49,unexpected_label,37 pixels
2,2,56,unexpected_label,146 pixels
2,2,61,unexpected_label,90 pixels
2,2,63,unexpected_label,2 pixels
2,2,64,unexpected_label,39 pixels
2,2,70,unexpected_label,45 pixels
2,2,77,unexpected_label,2 pixels
2,2,78,unexpected_label,1 pixels
2,2,82,unexpected_label,3 pixels
2,2,84,unexpected_label,4 pixels
2,2,85,unexpected_label,140 pixels
2,2,92,unexpected_label,75 pixels
2,2,96,unexpected_label,1 pixels
2,2,103,unexpected_label,4 pixels
2,2,106,unexpected_label,39 pixels
2,2,111,unexpected_label,1 pixels
2,2,14,small_disconnected_regions,"[4808, 6, 6, 6, 6, 6, 4, 4, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
15,3,1,unexpected_label,64 pixels
15,3,2,unexpected_label,166 pixels
15,3,3,unexpected_label,240 pixels
15,3,4,unexpected_label,136 pixels
15,3,5,unexpected_label,44 pixels
15,3,6,unexpected_label,60 pixels
15,3,7,unexpected_label,375 pixels
15,3,8,unexpected_label,64 pixels
15,3,9,unexpected_label,172 pixels
15,3,10,unexpected_label,416 pixels
15,3,11,unexpected_label,256 pixels
15,3,13,unexpected_label,60 pixels
15,3,17,unexpected_label,162 pixels
15,3,19,unexpected_label,160 pixels
15,3,21,unexpected_label,252 pixels
15,3,28,unexpected_label,312 pixels
15,3,29,unexpected_label,304 pixels
15,3,31,unexpected_label,324 pixels
15,3,33,unexpected_label,40 pixels
15,3,36,unexpected_label,162 pixels
15,3,42,unexpected_label,44 pixels
15,3,49,unexpected_label,39 pixels
15,3,56,unexpected_label,160 pixels
15,3,61,unexpected_label,80 pixels
15,3,64,unexpected_label,43 pixels
15,3,70,unexpected_label,40 pixels
15,3,85,unexpected_label,140 pixels
15,3,92,unexpected_label,78 pixels
15,3,106,unexpected_label,39 pixels
15,3,14,small_disconnected_regions,"[5592, 8, 8, 6, 4, 4, 4, 4, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
16,4,1,unexpected_label,72 pixels
16,4,2,unexpected_label,163 pixels
16,4,3,unexpected_label,252 pixels
16,4,4,unexpected_label,128 pixels
16,4,5,unexpected_label,49 pixels
16,4,6,unexpected_label,68 pixels
16,4,7,unexpected_label,370 pixels
16,4,8,unexpected_label,72 pixels
16,4,9,unexpected_label,170 pixels
16,4,10,unexpected_label,426 pixels
16,4,11,unexpected_label,264 pixels
16,4,13,unexpected_label,68 pixels
16,4,17,unexpected_label,159 pixels
16,4,19,unexpected_label,148 pixels
16,4,21,unexpected_label,251 pixels
16,4,28,unexpected_label,306 pixels
16,4,29,unexpected_label,318 pixels
16,4,31,unexpected_label,318 pixels
16,4,33,unexpected_label,45 pixels
16,4,36,unexpected_label,159 pixels
16,4,42,unexpected_label,49 pixels
16,4,49,unexpected_label,40 pixels
16,4,56,unexpected_label,148 pixels
16,4,61,unexpected_label,90 pixels
16,4,64,unexpected_label,44 pixels
16,4,70,unexpected_label,45 pixels
16,4,85,unexpected_label,136 pixels
16,4,92,unexpected_label,80 pixels
16,4,106,unexpected_label,40 pixels
16,4,14,small_disconnected_regions,"[5692, 12, 10, 8, 6, 6, 4, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
17,5,1,unexpected_label,72 pixels
17,5,2,unexpected_label,163 pixels
17,5,3,unexpected_label,260 pixels
17,5,4,unexpected_label,116 pixels
17,5,5,unexpected_label,40 pixels
17,5,6,unexpected_label,68 pixels
17,5,7,unexpected_label,367 pixels
17,5,8,unexpected_label,72 pixels
17,5,9,unexpected_label,158 pixels
17,5,10,unexpected_label,418 pixels
17,5,11,unexpected_label,252 pixels
17,5,13,unexpected_label,68 pixels
17,5,17,unexpected_label,159 pixels
17,5,19,unexpected_label,180 pixels
17,5,21,unexpected_label,245 pixels
17,5,28,unexpected_label,302 pixels
17,5,29,unexpected_label,302 pixels
17,5,31,unexpected_label,318 pixels
17,5,33,unexpected_label,36 pixels
17,5,36,unexpected_label,159 pixels
17,5,42,unexpected_label,40 pixels
17,5,49,unexpected_label,37 pixels
17,5,56,unexpected_label,180 pixels
17,5,61,unexpected_label,72 pixels
17,5,64,unexpected_label,41 pixels
17,5,70,unexpected_label,36 pixels
17,5,85,unexpected_label,144 pixels
17,5,92,unexpected_label,74 pixels
17,5,106,unexpected_label,37 pixels
17,5,14,small_disconnected_regions,"[5828, 8, 4, 4, 4, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
18,6,1,unexpected_label,74 pixels
18,6,2,unexpected_label,168 pixels
18,6,3,unexpected_label,252 pixels
18,6,4,unexpected_label,116 pixels
18,6,5,unexpected_label,46 pixels
18,6,6,unexpected_label,70 pixels
18,6,7,unexpected_label,375 pixels
18,6,8,unexpected_label,74 pixels
18,6,9,unexpected_label,172 pixels
18,6,10,unexpected_label,416 pixels
18,6,11,unexpected_label,256 pixels
18,6,13,unexpected_label,70 pixels
18,6,17,unexpected_label,164 pixels
18,6,19,unexpected_label,164 pixels
18,6,21,unexpected_label,246 pixels
18,6,28,unexpected_label,320 pixels
18,6,29,unexpected_label,312 pixels
18,6,31,unexpected_label,328 pixels
18,6,33,unexpected_label,42 pixels
18,6,36,unexpected_label,164 pixels
18,6,42,unexpected_label,46 pixels
18,6,49,unexpected_label,35 pixels
18,6,56,unexpected_label,164 pixels
18,6,61,unexpected_label,84 pixels
18,6,64,unexpected_label,39 pixels
18,6,70,unexpected_label,42 pixels
18,6,85,unexpected_label,148 pixels
18,6,92,unexpected_label,70 pixels
18,6,106,unexpected_label,35 pixels
18,6,14,small_disconnected_regions,"[5892, 10, 8, 8, 6, 4, 4, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
19,7,1,unexpected_label,74 pixels
19,7,2,unexpected_label,165 pixels
19,7,3,unexpected_label,256 pixels
19,7,4,unexpected_label,112 pixels
19,7,5,unexpected_label,44 pixels
19,7,6,unexpected_label,70 pixels
19,7,7,unexpected_label,369 pixels
19,7,8,unexpected_label,74 pixels
19,7,9,unexpected_label,174 pixels
19,7,10,unexpected_label,422 pixels
